[16501, 19352, 10810, 1313, 12503, 16082, 12676, 10496, 2360, 8687, 9747, 14177, 2749, 14527, 204, 17271, 6923, 4574, 7928, 17420, 11650, 3935, 1347, 16751, 2896, 11973, 14031, 415, 8535, 940, 5210, 13109, 1575, 13344, 15257, 2297, 11940, 4399, 5212, 19674, 4774, 18752, 6462, 9887, 16044, 4575, 8049, 15780, 1211, 14952, 18670, 11231, 11428, 6015, 11226, 8369, 7919, 11544, 1367, 4429]
[4231, 2118, 12044, 8205, 416, 36, 5633, 4243, 1254, 16325, 2743, 5221, 18140, 16975, 7264, 18880, 8479, 16295, 13473, 6228, 2537, 363, 5176, 9109, 3837, 2426, 1703, 17273, 19217, 6921, 318, 14182, 816, 9923, 16265, 9762, 10474, 18283, 17678, 7932, 8190, 8129, 6574, 11344, 1675, 13726, 12730, 9771, 6716, 702, 13770, 16611, 3329, 144, 4682, 16790, 7278, 2521, 19446, 1447]
[10609, 13911, 9884, 19639, 13069, 2046, 13368, 17771, 14097, 9914, 1159, 12141, 11345, 9955, 7418, 14462, 1906, 16288, 5778, 17040, 4524, 5091, 1877, 11460, 5422, 13391, 9810, 7595, 12598, 8959, 18141, 9166, 3865, 18766, 17097, 13716, 16190, 16589, 4554, 18991, 6426, 17535, 4116, 8367, 14726, 570, 17711, 18664, 12100, 6246, 14188, 15128, 557, 1314, 15378, 4444, 19259, 8057, 13335, 17998]
[16036, 2422, 4232, 8967, 8453, 17764, 1875, 14593, 17155, 235, 4562, 11778, 17318, 14563, 11933, 7549, 15658, 277, 18718, 19416, 3356, 6447, 17130, 816, 8164, 4250, 9088, 8298, 3709, 7926, 18147, 18302, 10586, 14214, 15435, 16489, 12425, 5407, 17013, 15550, 3092, 13859, 7881, 8874, 19266, 13582, 17893, 12349, 10920, 17977, 10257, 2346, 6108, 17853, 13443, 13493, 1595, 15607, 12849, 13283]
[8762, 6719, 12945, 5764, 741, 3307, 8728, 7981, 9207, 13361, 10193, 7769, 1118, 5277, 8194, 8823, 13166, 16601, 9035, 3116, 2183, 17646, 10612, 17927, 9511, 16167, 17944, 15444, 9724, 5014, 13373, 8984, 19265, 6326, 5087, 3358, 14858, 6520, 11852, 18595, 19078, 13686, 753, 10956, 6751, 2542, 15134, 10916, 16900, 4448, 917, 3173, 4682, 10315, 13903, 9436, 9869, 5023, 13743, 5130]
[19404, 9300, 10800, 9799, 5175, 5638, 2357, 10625, 8067, 6198, 157, 16213, 8397, 8850, 3468, 10545, 6769, 17190, 16920, 18502, 17154, 8185, 10788, 1127, 15351, 12992, 2543, 559, 12357, 905, 13966, 4606, 6067, 16173, 6940, 10541, 4777, 1655, 8101, 13373, 6239, 4277, 909, 10239, 17752, 7196, 7782, 17470, 16779, 18499, 11645, 5450, 19335, 779, 9049, 4884, 8311, 11267, 17968, 7567]
[19184, 17549, 2496, 8348, 5518, 4210, 6229, 4976, 17949, 15075, 17871, 18149, 10335, 5266, 3277, 8399, 1573, 7860, 2948, 15561, 13870, 16081, 4121, 18284, 7997, 17297, 8468, 11992, 18055, 155, 15593, 595, 8810, 10715, 13245, 15838, 9663, 1508, 14894, 9521, 2277, 12224, 10449, 5971, 617, 2941, 1442, 1691, 6760, 8024, 14919, 333, 8953, 17107, 13061, 5332, 13657, 12575, 1538, 6539]
[14400, 120, 6293, 17426, 3995, 8145, 5882, 14791, 8237, 2616, 18070, 7973, 7705, 7941, 17277, 17886, 62, 12669, 17445, 7028, 16581, 4648, 8116, 12065, 2764, 10541, 729, 13602, 8860, 813, 16533, 1658, 18672, 5427, 14111, 6878, 13245, 15351, 4219, 12847, 14127, 17948, 18782, 5283, 12971, 19714, 1692, 13270, 9398, 11783, 9148, 10019, 2693, 4035, 18160, 12427, 7465, 17278, 1608, 2466]
[10797, 11227, 7803, 10608, 6885, 19091, 12546, 19308, 2045, 14069, 12668, 4052, 11563, 13210, 8957, 11946, 4050, 9975, 17683, 991, 10674, 17691, 10640, 3526, 2087, 5529, 16196, 19597, 5044, 7686, 11073, 1827, 17756, 14855, 17449, 11357, 15052, 18875, 11229, 16263, 3899, 9199, 5151, 6000, 6517, 4637, 17327, 5782, 1251, 18188, 7685, 16163, 8818, 4670, 6825, 18033, 11321, 9400, 12145, 11096]
[14508, 10844, 15344, 1767, 12546, 2618, 10177, 4827, 1689, 7964, 18765, 10797, 4837, 3022, 16659, 17709, 17475, 423, 19473, 14206, 12641, 15919, 8242, 10881, 6070, 3996, 4896, 18123, 13232, 11441, 13438, 15901, 5280, 2365, 2390, 13165, 16557, 14898, 11243, 19507, 3929, 6620, 6556, 17968, 15760, 9559, 11181, 12863, 13147, 9461, 11369, 10290, 8120, 2760, 7106, 10502, 443, 10750, 1498, 12087]
[9929, 4025, 5077, 16466, 19489, 1616, 19196, 18232, 7973, 922, 11869, 18258, 7578, 12782, 9042, 19270, 9372, 10176, 18727, 18880, 16538, 2766, 8151, 15729, 10059, 16918, 1306, 10038, 4698, 12382, 2243, 8937, 18685, 13711, 3474, 10388, 6357, 531, 16759, 12819, 15620, 15194, 6675, 1007, 1997, 730, 2260, 1238, 12230, 11312, 15237, 16255, 9701, 4485, 6801, 13349, 2863, 23, 14712, 8588]
