[669, 766, 2247, 959, 2308, 1443, 2298, 198, 224, 209, 2156, 572, 2194, 917, 1517, 915, 1123, 2581, 1830, 686, 1142, 1088, 581, 409, 2598, 376, 634, 300, 1979, 113, 1587, 331, 69, 551, 1504]
[319, 1871, 1799, 561, 267, 2645, 1796, 776, 706, 1419, 2059, 11, 975, 965, 642, 754, 268, 1832, 28, 1736, 1367, 2504, 1547, 1180, 719, 282, 1470, 1845, 1898, 1955, 447, 2467, 1170, 991, 2480]
[1456, 411, 765, 994, 812, 2357, 1702, 1671, 435, 2670, 2010, 2233, 2056, 161, 373, 1067, 1566, 1632, 2313, 951, 1244, 2504, 1776, 134, 2328, 1377, 1267, 249, 903, 1512, 213, 2622, 779, 307, 1975]
[669, 2405, 2006, 2605, 1541, 780, 2496, 38, 1510, 1422, 1801, 731, 769, 1467, 11, 1689, 2365, 2652, 2654, 263, 1367, 685, 303, 342, 1767, 816, 1478, 1650, 2184, 643, 898, 2174, 1675, 778, 1236]
[2529, 869, 1023, 285, 212, 1774, 1965, 245, 2682, 2336, 897, 624, 100, 717, 323, 355, 1739, 53, 1749, 1520, 608, 1564, 1560, 1779, 1856, 2235, 720, 2491, 621, 114, 93, 850, 2013, 2132, 1501]
[827, 1938, 2437, 574, 390, 394, 2435, 284, 1406, 2564, 1275, 2472, 1517, 334, 405, 2279, 2460, 1199, 173, 1546, 2328, 1490, 103, 399, 1367, 1182, 709, 610, 2527, 896, 682, 1370, 491, 551, 1396]
[141, 143, 231, 2033, 1875, 1063, 2259, 1266, 1522, 947, 2453, 257, 2072, 2266, 680, 188, 820, 1233, 1730, 2307, 1699, 102, 2487, 109, 1854, 1408, 903, 1845, 1903, 1183, 23, 1660, 1698, 2461, 891]
[1247, 1876, 2304, 592, 2191, 2153, 1519, 1068, 1461, 2122, 1602, 2057, 149, 2131, 2172, 1989, 684, 439, 1642, 2220, 1251, 1854, 1856, 1640, 834, 1167, 1883, 925, 1543, 1882, 145, 23, 2161, 2217, 404]
[1432, 1949, 2589, 1558, 1893, 283, 857, 1206, 1533, 2223, 2199, 966, 80, 1517, 2576, 1887, 5, 867, 1035, 1761, 876, 2210, 1782, 2584, 1572, 2166, 890, 1377, 2288, 803, 145, 830, 2159, 106, 499]
[1613, 670, 1090, 2572, 168, 444, 1518, 1985, 2040, 529, 2219, 1536, 901, 1374, 2311, 823, 2415, 999, 1161, 1743, 563, 1770, 887, 1767, 1180, 807, 349, 472, 801, 249, 1362, 145, 1482, 2159, 594]
[2282, 1941, 846, 2542, 617, 560, 86, 2670, 1970, 1795, 2068, 1588, 304, 2171, 1652, 536, 1601, 758, 1173, 1761, 2145, 1564, 1780, 126, 1204, 1840, 2178, 2031, 1181, 885, 2457, 778, 2158, 123, 847]
[2692, 2593, 2344, 601, 2033, 1443, 2122, 166, 435, 1891, 62, 415, 2578, 81, 2137, 359, 170, 494, 558, 1035, 1088, 1346, 1459, 1788, 399, 2256, 1470, 1901, 737, 1227, 1333, 2604, 471, 123, 116]
[1054, 2703, 295, 2699, 13, 1390, 1342, 140, 2380, 250, 323, 2055, 2511, 842, 279, 2220, 742, 155, 1361, 1164, 406, 656, 581, 487, 2326, 2528, 1883, 1953, 483, 2100, 1647, 1495, 712, 1074, 2457]
[959, 1450, 843, 2570, 1364, 2378, 1012, 1046, 2564, 492, 1118, 446, 485, 434, 2419, 2641, 1150, 2440, 1757, 2585, 1561, 1834, 1781, 103, 556, 2517, 2375, 2527, 2102, 1537, 1387, 2461, 594, 1076, 2457]
[240, 568, 2669, 291, 2191, 828, 2680, 1585, 523, 1115, 2089, 1013, 2074, 2418, 2384, 2446, 1233, 1466, 1739, 2557, 741, 487, 864, 656, 2082, 2061, 1677, 1309, 2103, 2628, 1074, 465, 2638, 190, 611]
[1575, 812, 183, 2471, 2129, 1419, 2536, 1068, 1343, 340, 2097, 851, 149, 2073, 1843, 764, 684, 1486, 723, 1752, 318, 1560, 350, 2505, 1337, 671, 1579, 2491, 1537, 2586, 830, 1914, 1327, 1476, 123]
[974, 2124, 1423, 237, 2038, 38, 55, 348, 63, 2259, 2195, 1682, 1850, 1923, 1921, 246, 1729, 1737, 853, 2334, 719, 1670, 1781, 1089, 2088, 2101, 2363, 643, 935, 454, 1420, 2154, 1487, 600, 2151]
[141, 2531, 2535, 930, 1016, 1261, 187, 2684, 776, 1907, 257, 146, 1922, 2051, 3, 1154, 105, 2596, 1646, 341, 1180, 508, 102, 556, 121, 925, 676, 896, 264, 393, 2022, 1476, 99, 404, 1914]
[2593, 2118, 923, 1393, 2258, 2483, 789, 1889, 1234, 2130, 2575, 1341, 2639, 718, 32, 1308, 9, 2313, 1550, 1606, 2107, 683, 426, 1009, 487, 890, 1313, 1222, 393, 220, 539, 144, 2173, 2458, 2468]
[1929, 2577, 2119, 2367, 2317, 2290, 1529, 623, 652, 529, 279, 365, 992, 415, 731, 2652, 53, 1149, 1546, 533, 136, 1791, 1656, 54, 1337, 1168, 610, 1978, 410, 1884, 1328, 1973, 663, 1976, 1683]
[1877, 2633, 2126, 2508, 990, 1454, 714, 2020, 2355, 443, 1892, 1395, 1923, 1913, 897, 2643, 1282, 2558, 1739, 403, 1782, 1789, 1564, 2331, 2081, 1404, 2553, 1978, 410, 400, 1504, 2396, 1836, 2395, 939]
[395, 160, 182, 1862, 1386, 1307, 378, 2524, 1785, 996, 1658, 1892, 767, 1110, 2059, 2618, 489, 562, 2447, 1751, 1448, 306, 741, 137, 126, 904, 2621, 621, 1368, 128, 2165, 2422, 2468, 898, 1592]
[2117, 2707, 520, 1992, 19, 2646, 1569, 152, 283, 802, 1983, 280, 292, 666, 2347, 999, 1562, 754, 389, 2359, 1834, 2210, 2085, 2107, 773, 1226, 2102, 1879, 803, 2374, 2112, 1660, 2278, 2458, 2022]
[15, 2624, 13, 184, 212, 2237, 1519, 2399, 1385, 2496, 1125, 1652, 1357, 1905, 475, 760, 1250, 1730, 704, 449, 2082, 563, 2545, 2095, 1490, 1903, 1043, 1409, 458, 1113, 1482, 331, 1593, 1919, 1504]
[2215, 568, 2229, 765, 150, 498, 255, 1129, 1984, 1257, 1839, 2234, 242, 1467, 1925, 228, 806, 721, 358, 427, 1561, 103, 864, 1584, 589, 2273, 1650, 259, 634, 2023, 2228, 26, 122, 1916, 1399]
[267, 674, 2551, 1424, 1411, 330, 2043, 1639, 828, 1206, 2089, 354, 2189, 80, 992, 1281, 2442, 337, 1744, 2655, 131, 409, 1767, 2048, 2106, 1553, 490, 1113, 1455, 2528, 2638, 891, 1351, 2159, 2161]
[1084, 395, 2125, 2368, 185, 588, 849, 1635, 2002, 1230, 1905, 1602, 679, 2131, 2073, 1642, 1685, 2220, 2585, 1646, 109, 980, 1780, 18, 660, 1354, 282, 1022, 454, 1960, 106, 1074, 1683, 2154, 491]
[2571, 1598, 143, 2140, 2035, 258, 802, 783, 2683, 2001, 624, 149, 717, 753, 496, 337, 1737, 1832, 1610, 2460, 1735, 2488, 1258, 399, 137, 648, 840, 379, 2061, 612, 1900, 2151, 1076, 108, 1918]
[2600, 555, 846, 785, 2699, 243, 89, 2648, 2518, 780, 3, 2502, 1981, 2155, 2418, 1067, 580, 326, 228, 1249, 2090, 1142, 2326, 563, 302, 1555, 1043, 935, 1549, 925, 1501, 331, 2022, 2455, 1918]
[150, 45, 1498, 453, 2214, 286, 828, 654, 2341, 946, 964, 530, 815, 880, 1036, 156, 534, 1601, 1565, 2554, 131, 109, 980, 1560, 139, 47, 612, 1312, 125, 1338, 955, 93, 412, 31, 1464]
[1554, 1053, 2349, 2703, 2570, 996, 1907, 2122, 1208, 2666, 35, 2232, 2639, 2068, 975, 2433, 1566, 985, 1169, 806, 2326, 139, 2545, 329, 409, 971, 2166, 1690, 935, 1276, 1660, 1972, 2604, 2164, 1851]
[256, 2521, 892, 1852, 1121, 340, 428, 2336, 1135, 2463, 437, 1468, 2576, 415, 65, 263, 1389, 562, 1361, 752, 487, 685, 1670, 1609, 318, 728, 1963, 1954, 128, 755, 907, 611, 307, 596, 2157]
[960, 14, 1440, 2565, 1473, 1531, 250, 2647, 1307, 2473, 2201, 2072, 98, 771, 1468, 1262, 2391, 2220, 609, 1721, 153, 2082, 2325, 1640, 1142, 2516, 117, 1896, 559, 2288, 611, 1163, 2109, 1495, 596]
[1016, 1023, 1728, 590, 48, 1533, 2648, 492, 84, 2335, 62, 642, 2360, 1376, 1905, 2359, 2466, 1209, 72, 90, 2329, 2251, 2144, 2045, 1775, 621, 2284, 1879, 1829, 1543, 2228, 1592, 2457, 2157, 2467]
[1191, 2118, 865, 2212, 2076, 1985, 884, 2583, 2386, 947, 1293, 852, 1672, 274, 1536, 2169, 1038, 902, 466, 2557, 608, 1856, 2093, 660, 1777, 1978, 2256, 1619, 1982, 1470, 1972, 1660, 1359, 1916, 106]
[2659, 2413, 2687, 590, 1053, 84, 430, 339, 1050, 1162, 2051, 1374, 1540, 693, 624, 173, 1765, 1233, 1668, 1471, 945, 1564, 426, 1768, 1140, 647, 1911, 1980, 816, 1512, 2161, 447, 712, 465, 1592]
[1057, 785, 770, 713, 1514, 429, 2617, 82, 199, 1097, 2053, 2186, 161, 2274, 2234, 359, 629, 2558, 684, 2307, 1768, 1640, 2092, 1788, 1089, 1029, 885, 2586, 940, 1700, 1676, 190, 2461, 2110, 1495]
[51, 185, 208, 2067, 699, 2490, 2637, 443, 330, 152, 2099, 2364, 2052, 2449, 2201, 358, 2658, 71, 2220, 1123, 236, 459, 2620, 1778, 1197, 2288, 20, 472, 2491, 1897, 108, 1915, 1421, 26, 2160]
[30, 1508, 756, 1946, 1405, 2386, 177, 2222, 1406, 583, 365, 161, 1540, 718, 2653, 1067, 1617, 1471, 2658, 2167, 719, 2505, 1781, 563, 2377, 1707, 2178, 2029, 2363, 47, 1165, 144, 56, 2013, 604]
[781, 1935, 1211, 1607, 722, 922, 1015, 1001, 714, 2236, 2189, 2068, 1672, 2054, 2194, 533, 1210, 1281, 2448, 1762, 2319, 2322, 937, 409, 2090, 2178, 1324, 826, 1060, 454, 145, 1288, 1972, 2159, 594]
[1935, 546, 1582, 51, 2077, 1671, 2376, 545, 2436, 1686, 572, 1198, 65, 1909, 2194, 2460, 2450, 1489, 2515, 1114, 1011, 234, 2210, 719, 1805, 265, 1314, 628, 249, 1543, 1485, 1085, 907, 1076, 712]
[894, 987, 1932, 2529, 1344, 2298, 934, 1001, 585, 2660, 1293, 2419, 1848, 1187, 1228, 1648, 931, 2220, 359, 427, 1335, 2085, 1551, 303, 2252, 1314, 1368, 1113, 1845, 370, 181, 26, 122, 1647, 499]
