[277, 2341, 2848, 3269, 3112, 2382, 1367, 1889, 2038, 984, 1709, 1568, 778, 1856, 500, 3214, 2863, 2694, 2682, 2659, 684, 1136, 2596, 982, 2564, 234, 610, 774, 1322, 2945]
[869, 1372, 1702, 1149, 2738, 2708, 1251, 210, 3283, 2271, 1227, 2563, 1796, 1274, 1637, 3161, 2083, 2694, 113, 129, 3114, 1342, 543, 2277, 1480, 694, 1090, 989, 393, 1937]
[749, 1258, 2087, 1600, 135, 99, 1942, 747, 3066, 2517, 943, 2544, 656, 2943, 2231, 2553, 2133, 2957, 3081, 326, 551, 2927, 2828, 1130, 60, 932, 1660, 531, 698, 2449]
[608, 2403, 1448, 877, 3101, 836, 2050, 2981, 1160, 692, 792, 597, 2879, 1111, 500, 74, 703, 1893, 112, 951, 2033, 985, 1013, 2420, 1288, 2154, 969, 3304, 1826, 751]
[1372, 3129, 1864, 1899, 2698, 574, 2459, 2081, 501, 2546, 554, 903, 1063, 643, 3285, 1069, 2628, 2083, 3309, 3181, 162, 48, 2599, 3266, 2952, 462, 2679, 1280, 3314, 2602]
[3259, 2413, 400, 1108, 496, 2892, 1764, 3137, 604, 2227, 1611, 2367, 244, 1137, 1401, 1752, 116, 1454, 160, 1794, 296, 1483, 302, 396, 180, 1573, 541, 430, 1595, 2557]
[187, 2827, 2380, 599, 1624, 1163, 535, 2109, 945, 1353, 2094, 232, 37, 2666, 1159, 74, 3133, 2613, 1276, 437, 1576, 2843, 1273, 2821, 1582, 2810, 68, 802, 159, 1004]
[3171, 871, 3324, 973, 1561, 358, 1655, 3291, 826, 734, 1308, 3287, 3225, 3188, 1095, 712, 2530, 2922, 1959, 1795, 1238, 2356, 1230, 521, 2361, 1315, 1000, 947, 1826, 2318]
[1802, 1947, 2777, 2605, 1746, 779, 2964, 606, 1394, 1627, 1667, 3109, 1184, 2975, 1715, 1520, 2635, 1597, 817, 2332, 985, 460, 2070, 2162, 966, 3295, 1914, 638, 2430, 2184]
[3145, 2062, 2508, 422, 2294, 998, 81, 1206, 1341, 513, 1184, 2969, 252, 139, 1844, 2338, 1183, 2987, 2852, 2613, 1386, 2466, 3034, 1582, 395, 1210, 1390, 1525, 3299, 2215]
[2372, 1773, 2936, 1850, 2723, 2615, 1583, 2046, 2795, 1304, 252, 374, 352, 323, 2558, 2807, 2269, 2412, 2530, 1249, 2830, 1758, 3030, 181, 2528, 1147, 1477, 564, 2721, 2740]
[1669, 174, 2148, 3062, 3023, 2493, 409, 828, 1182, 2647, 3089, 2222, 578, 2670, 21, 106, 820, 341, 119, 1616, 1299, 2113, 2846, 972, 2630, 2610, 1545, 3010, 1522, 2132]
[2588, 1086, 657, 1601, 2878, 788, 2791, 1223, 2161, 902, 1123, 1715, 1196, 2104, 655, 3309, 2111, 389, 820, 106, 2162, 2151, 994, 1831, 1517, 795, 2963, 566, 2911, 531]
[166, 155, 1874, 1958, 2738, 150, 945, 3127, 1942, 2433, 2274, 3155, 2482, 3201, 2983, 1371, 421, 128, 19, 635, 2622, 1054, 3115, 1816, 2230, 927, 780, 1595, 2346, 3253]
[764, 2233, 1320, 420, 699, 583, 2917, 2131, 1606, 606, 2104, 1196, 538, 37, 2012, 1276, 553, 3180, 653, 110, 2792, 1301, 2868, 2528, 2290, 489, 2844, 1033, 584, 2832]
