[16501, 19352, 10810, 1313, 12503, 16605, 5318, 1216, 4120, 16472, 14666, 11883, 17528, 6800, 1779]
[2142, 16252, 15716, 5865, 36, 15157, 2841, 5722, 12213, 11816, 4320, 14753, 7288, 4101, 2670]
[14554, 12552, 2518, 3087, 15249, 16011, 6582, 11835, 17273, 5074, 8049, 2643, 7498, 3682, 8148]
[14830, 19284, 16859, 9660, 18346, 11730, 18057, 14413, 10774, 3760, 10156, 18902, 16293, 15222, 286]
[14918, 10088, 9780, 7920, 7925, 18950, 5210, 15304, 14198, 7610, 18699, 6503, 19293, 2646, 14844]
[16742, 9257, 11689, 15686, 19447, 537, 16872, 334, 6456, 15901, 17379, 1933, 15898, 9344, 17801]
[7831, 2546, 4401, 6989, 16058, 19327, 17876, 9577, 4128, 1658, 9431, 554, 545, 13062, 11055]
[10800, 6737, 17174, 9475, 12876, 7709, 16879, 17985, 18411, 14799, 3661, 14960, 1196, 13983, 17455]
[10528, 637, 4272, 17684, 14324, 17609, 19027, 14716, 15792, 18447, 317, 17608, 18566, 5328, 5393]
[4165, 19565, 147, 6150, 4187, 16029, 14591, 16566, 1880, 4456, 213, 11287, 11596, 16619, 8991]
[10938, 3591, 14918, 18086, 4179, 14219, 18672, 15738, 627, 17773, 14565, 6501, 14947, 13467, 9945]
[4665, 10404, 7025, 993, 2219, 15235, 16665, 8428, 7053, 12955, 8284, 874, 1476, 1734, 7804]
[10201, 6019, 12900, 680, 793, 7618, 14644, 9665, 8203, 1935, 4177, 17364, 16453, 3961, 9239]
[9307, 11386, 3741, 4966, 18090, 14745, 9682, 12378, 17551, 11816, 15976, 593, 4066, 3661, 1920]
[6422, 5579, 17192, 18704, 3803, 19241, 3648, 1323, 9378, 15550, 14343, 5170, 9010, 13657, 10285]
[18434, 17610, 19521, 18540, 17924, 8959, 17609, 8365, 15232, 17312, 15958, 4377, 17215, 8023, 7338]
[3711, 3733, 16772, 11198, 13857, 6110, 8496, 17920, 18947, 4303, 8614, 16346, 6220, 16387, 4130]
[8934, 616, 2104, 4402, 18606, 19013, 15789, 6326, 11160, 12199, 18338, 10833, 6761, 75, 4172]
[6565, 11506, 15681, 823, 19628, 9478, 18276, 10867, 14707, 13692, 11404, 1729, 15041, 14259, 4293]
[17429, 10714, 18454, 17314, 10712, 17377, 12525, 19298, 8973, 16724, 17853, 5808, 14285, 6965, 17278]
[759, 11319, 11720, 4368, 5165, 9180, 10344, 15878, 13880, 15010, 6111, 4768, 13526, 16786, 8855]
[6343, 5707, 3766, 9225, 4722, 11856, 1262, 7261, 12118, 7849, 6230, 6870, 18800, 11480, 11269]
[14463, 13901, 17903, 3284, 18330, 13234, 13227, 9625, 1712, 14479, 472, 7408, 16810, 11067, 6596]
[7805, 15141, 14852, 4983, 1633, 2565, 17273, 17690, 14972, 4125, 11040, 8417, 410, 17494, 9130]
[18174, 3855, 9021, 16996, 14056, 3266, 7718, 11529, 5718, 8920, 4518, 3313, 11079, 11305, 4481]
[12910, 5661, 19006, 1433, 321, 16525, 13834, 4606, 4915, 14424, 16632, 7364, 2980, 2350, 6318]
[7313, 12437, 15916, 10638, 329, 305, 15486, 2288, 3537, 2764, 11005, 13468, 5931, 18478, 5286]
[10342, 6784, 11826, 9755, 18376, 817, 4698, 2537, 17563, 13224, 13827, 11843, 16810, 19599, 14131]
[3190, 8968, 7841, 15581, 14447, 2779, 18682, 6655, 11173, 13068, 316, 4083, 5683, 13571, 2034]
[12015, 12638, 9585, 5731, 11486, 16197, 2126, 17120, 18415, 6864, 7702, 18896, 18910, 15198, 764]
[6257, 9019, 8882, 18960, 3845, 11597, 1459, 11472, 4015, 10834, 4417, 7295, 10799, 7399, 1994]
[12091, 8028, 18245, 5631, 4811, 1108, 15796, 18766, 1730, 2794, 9674, 10995, 10308, 930, 1930]
[12009, 16147, 7412, 5284, 11216, 11263, 3385, 6785, 18042, 16758, 15858, 15476, 13735, 199, 1014]
[6718, 16072, 1155, 7510, 1433, 9517, 18057, 11382, 16701, 10101, 2747, 15487, 6852, 2475, 6971]
[14228, 8356, 1696, 9662, 17857, 10752, 4734, 262, 3942, 2615, 3492, 4894, 8838, 10564, 5673]
[9604, 993, 16351, 12174, 13107, 634, 1939, 6652, 6134, 4218, 6517, 814, 15468, 8978, 6402]
[8484, 17296, 16898, 16644, 346, 8355, 95, 17313, 13528, 11141, 10346, 1986, 2737, 19259, 11236]
[5184, 2103, 8213, 12494, 4714, 17081, 4831, 8858, 11229, 8952, 17579, 14874, 9187, 10263, 5086]
[11180, 1648, 8012, 10728, 13890, 15234, 18463, 2564, 17163, 9976, 7995, 8140, 9984, 12788, 10369]
[6030, 10725, 19227, 18916, 5217, 10143, 2814, 18396, 2133, 16420, 17286, 2266, 464, 10198, 1141]
[9726, 13598, 5818, 7217, 15069, 15820, 11740, 6981, 19099, 9073, 9696, 14362, 11646, 12775, 16830]
[1374, 7414, 12690, 7391, 7615, 7325, 7045, 413, 13920, 7497, 9558, 15562, 2924, 17103, 3030]
[10569, 11686, 15080, 8445, 19652, 5280, 9521, 16874, 17563, 18284, 15397, 19278, 12087, 11770, 2227]
[13615, 9289, 12925, 6918, 1804, 18292, 7237, 16262, 4489, 6193, 3184, 10430, 13005, 1932, 11359]
[3685, 13914, 13755, 18880, 9768, 5152, 194, 18280, 2436, 10666, 5874, 16488, 3840, 10702, 8706]
[17410, 14623, 7180, 9548, 18127, 8973, 8920, 2047, 18123, 17806, 9560, 9016, 14256, 1776, 10209]
[1970, 16131, 6682, 8233, 6679, 14219, 7172, 527, 1799, 6361, 707, 17649, 11771, 9210, 12358]
[19536, 1370, 15059, 16419, 14598, 15190, 13461, 17440, 19139, 8601, 1166, 18389, 4603, 6888, 5263]
[7439, 19173, 18866, 19010, 12178, 18220, 16338, 16040, 6127, 10432, 8352, 5366, 2981, 16033, 7944]
[14097, 14264, 19683, 15927, 12799, 2531, 6498, 13830, 16560, 4329, 13931, 15543, 5057, 14229, 1232]
