[669, 766, 2247, 959, 2308, 639, 788, 1453, 2340, 2035, 833, 2509, 1855, 1861, 914, 827, 2243, 597, 869, 288, 2043, 1111, 1454, 2496, 1890, 84, 1667, 1406, 854, 1349, 1081, 1261, 1491, 1366, 378, 2034, 2498, 1320, 2583, 1793, 1527, 2219, 606, 1174, 1374, 60, 2137, 1521, 2418, 2295, 164, 2018, 1125, 711, 1395, 3, 1172, 2639, 1079, 858, 363, 853, 1037, 684, 1610, 1038, 2656, 1710, 34, 609, 742, 1668, 2466, 1724, 2366, 1471, 73, 732, 1586, 2655, 2257, 137, 1787, 487, 887, 124, 1854, 2318, 2170, 1789, 1346, 2208, 2082, 1779, 1783, 134, 1805, 542, 2086, 1448, 2537, 370, 1661, 379, 241, 671, 2178, 2062, 793, 1276, 1409, 1436, 1980, 2256, 807, 643, 1122, 1415, 2272, 1961, 550, 1372, 1647, 950, 2461, 491, 108, 939, 2050, 2422, 31, 87, 495, 1495, 830, 2394, 611, 23, 596, 663]
[843, 916, 2484, 1479, 2296, 2348, 1860, 2035, 2550, 2590, 1799, 841, 1844, 1256, 1411, 1932, 1820, 377, 1939, 332, 1202, 1984, 1481, 1385, 1087, 1366, 55, 1307, 317, 378, 320, 1082, 2490, 813, 1626, 198, 2043, 1425, 2362, 2431, 1395, 1330, 2182, 1507, 2408, 95, 738, 2171, 769, 2073, 838, 1523, 842, 1696, 1637, 2097, 1920, 2202, 161, 11, 2445, 2652, 59, 2525, 1169, 1599, 1492, 1305, 359, 1528, 289, 2446, 1216, 73, 762, 494, 2492, 1262, 1754, 1990, 2328, 1780, 1768, 2096, 460, 2090, 1699, 2107, 1781, 548, 2545, 329, 2255, 426, 1779, 176, 1244, 2143, 2084, 1142, 97, 1707, 1959, 2017, 264, 1133, 2288, 925, 388, 540, 2506, 1113, 578, 1237, 400, 1179, 220, 1512, 1825, 76, 471, 2468, 850, 830, 99, 2422, 145, 2604, 2638, 539, 1587, 1972, 1485, 1647, 2151, 465, 1675, 2022, 724, 96]
[24, 319, 1019, 2420, 1939, 1940, 21, 2152, 2406, 1191, 397, 568, 453, 2301, 2686, 19, 2358, 2369, 2302, 1297, 431, 1112, 924, 1533, 2380, 688, 2463, 450, 1796, 787, 947, 375, 2660, 774, 1257, 82, 2383, 2306, 1422, 1626, 1847, 1839, 1696, 423, 239, 767, 2533, 1637, 1848, 1395, 2171, 1341, 1468, 1588, 2097, 1025, 1923, 2312, 1583, 733, 1070, 1306, 757, 1830, 1252, 2448, 867, 1642, 626, 2530, 2627, 2446, 189, 391, 221, 1716, 1721, 1606, 1412, 1740, 1547, 2081, 741, 2092, 1834, 556, 134, 1781, 1798, 1584, 2300, 1775, 1772, 2327, 2087, 1346, 1144, 2504, 1180, 2620, 1029, 2101, 419, 995, 793, 541, 50, 735, 2031, 1168, 2485, 701, 1060, 1105, 940, 233, 129, 755, 125, 925, 499, 991, 106, 830, 1074, 2397, 1539, 1504, 779, 495, 955, 1525, 2479, 1165, 1487, 56, 1495, 1396, 1085, 921]
[1462, 1654, 575, 1056, 1212, 1334, 2398, 226, 2358, 218, 44, 396, 2489, 407, 716, 1605, 2412, 2368, 17, 605, 86, 1194, 1318, 2299, 2675, 1968, 375, 1545, 442, 1322, 1050, 2662, 1015, 714, 1178, 1082, 1369, 84, 1891, 2682, 897, 2360, 2068, 1912, 6, 718, 475, 858, 1910, 1139, 2070, 1259, 1695, 839, 2419, 324, 2311, 2449, 2544, 738, 353, 2492, 1566, 2415, 1199, 1562, 1238, 1161, 1747, 1734, 1398, 1513, 2558, 2447, 1038, 1041, 173, 754, 2651, 1280, 294, 409, 519, 1620, 234, 308, 2322, 2487, 2325, 2218, 350, 460, 2377, 1547, 2144, 1670, 2093, 2094, 342, 426, 1911, 371, 1360, 2516, 612, 2506, 904, 2491, 1309, 2227, 643, 2061, 125, 2270, 694, 671, 793, 1183, 1829, 2024, 1288, 1592, 1976, 1849, 1372, 611, 118, 31, 551, 2174, 1676, 127, 2158, 2110, 1504, 1674, 108, 1660, 2394, 471]
[1221, 1057, 1062, 1852, 2119, 1673, 27, 1447, 2539, 278, 2345, 598, 2078, 2570, 2346, 1326, 2668, 1411, 845, 482, 2538, 385, 688, 2498, 924, 538, 1343, 1385, 422, 1534, 492, 1491, 698, 1234, 2222, 1115, 2617, 82, 1379, 2249, 659, 274, 2137, 32, 461, 11, 2533, 80, 1801, 2470, 1275, 1655, 1203, 1042, 2171, 2010, 858, 1468, 2073, 1526, 2655, 1339, 1426, 1642, 2446, 2616, 1720, 2439, 632, 1831, 2366, 902, 1070, 1736, 2651, 2614, 263, 341, 1727, 244, 864, 1560, 608, 2488, 1797, 104, 2095, 138, 306, 2085, 2255, 773, 1459, 1805, 124, 318, 1011, 887, 2090, 135, 125, 107, 1898, 541, 1022, 2506, 2273, 645, 1276, 220, 941, 2592, 2184, 2166, 1974, 115, 2375, 1311, 1190, 50, 465, 1076, 123, 724, 1504, 96, 551, 1464, 108, 1587, 1972, 2396, 2468, 2112, 939, 955, 2022, 2173, 539, 491]
[1242, 2701, 909, 2601, 2077, 2688, 692, 150, 313, 874, 622, 1995, 1044, 766, 997, 601, 1277, 1503, 2707, 1858, 1064, 963, 248, 893, 2474, 2678, 912, 38, 1208, 582, 922, 2536, 2250, 2355, 385, 2299, 749, 1653, 984, 849, 2018, 2181, 142, 2010, 2069, 1220, 274, 60, 2332, 1172, 2197, 79, 98, 1125, 809, 2202, 305, 100, 2469, 2131, 797, 2391, 557, 1562, 580, 337, 2585, 1189, 1378, 1566, 34, 1722, 2512, 1747, 2581, 1730, 2507, 1756, 328, 2452, 1670, 476, 104, 1623, 887, 2257, 655, 1777, 519, 2170, 958, 980, 2478, 1572, 1789, 1856, 2402, 505, 1798, 2095, 1884, 890, 1974, 1168, 70, 2285, 2166, 2111, 735, 1650, 1962, 249, 1267, 2528, 129, 1579, 191, 971, 2621, 2256, 1835, 1504, 779, 2015, 2190, 2690, 1683, 993, 1916, 2174, 1495, 611, 190, 1027, 955, 604, 551, 2228, 1674, 1647]
[1073, 988, 1134, 1613, 293, 297, 1844, 2412, 1329, 2624, 2247, 2314, 713, 401, 2038, 2565, 785, 2420, 2543, 2703, 1984, 1639, 1087, 2120, 911, 1162, 385, 1667, 798, 813, 585, 698, 442, 91, 1157, 2386, 2352, 1474, 2, 776, 2181, 2018, 763, 2059, 10, 1912, 2233, 1910, 2312, 1047, 446, 591, 502, 1174, 851, 1376, 2089, 2232, 1536, 292, 1606, 1648, 358, 1888, 105, 2597, 754, 391, 2655, 558, 1233, 1003, 1729, 296, 1599, 1189, 569, 1717, 1516, 322, 2092, 103, 139, 1786, 1158, 834, 1779, 112, 2144, 2145, 1656, 1782, 1638, 350, 2170, 121, 1670, 910, 137, 2107, 300, 1182, 47, 1896, 1190, 1974, 479, 2271, 2527, 1441, 117, 621, 840, 1825, 516, 2363, 2374, 578, 2058, 1470, 539, 600, 2608, 2154, 2022, 1387, 2396, 1359, 2030, 123, 1647, 465, 190, 2015, 1495, 2467, 611, 1074, 144, 414]
[633, 790, 818, 0, 512, 1446, 321, 799, 1062, 1938, 254, 1132, 653, 183, 500, 821, 2500, 1290, 298, 2004, 2250, 429, 2222, 2587, 2677, 196, 912, 2260, 884, 1097, 29, 428, 828, 1109, 2289, 2483, 2122, 2153, 442, 2695, 35, 1395, 839, 2051, 10, 2342, 1930, 1682, 1912, 1983, 680, 2246, 1013, 475, 1224, 777, 2277, 440, 2054, 1631, 1566, 1706, 2585, 2507, 1033, 301, 1483, 871, 2558, 110, 1742, 689, 1243, 562, 403, 1722, 1733, 976, 721, 2466, 2045, 1045, 1777, 308, 1561, 831, 1768, 2252, 36, 131, 719, 1805, 1011, 2026, 2106, 384, 660, 2218, 153, 2094, 739, 1182, 1953, 878, 1899, 2235, 1827, 1902, 1878, 2527, 1959, 97, 826, 438, 648, 755, 628, 1824, 2105, 2407, 1919, 539, 1917, 2209, 495, 600, 939, 2174, 2050, 175, 1163, 2479, 1660, 2112, 1165, 2608, 499, 2192, 127, 1900]
[700, 1059, 2008, 1853, 674, 507, 1310, 1857, 1554, 2412, 1605, 1931, 1052, 1211, 547, 727, 521, 2676, 141, 1678, 688, 943, 2376, 152, 2043, 1385, 1112, 862, 2637, 849, 361, 2660, 2239, 2564, 1967, 2121, 922, 463, 2248, 1518, 1527, 659, 2069, 1330, 975, 2453, 2186, 1395, 94, 815, 2198, 2418, 895, 456, 1268, 2511, 888, 1374, 1841, 897, 672, 1214, 403, 1287, 1161, 1426, 1205, 732, 244, 1604, 2169, 2515, 1754, 480, 1506, 1378, 228, 2421, 744, 2433, 556, 829, 831, 1142, 2046, 2087, 1490, 399, 303, 1656, 1735, 887, 1788, 1856, 1193, 234, 1571, 1009, 1561, 2584, 1537, 2374, 128, 2023, 1883, 648, 2375, 2456, 2101, 1544, 578, 2178, 540, 2235, 1707, 114, 2017, 995, 2428, 1338, 1918, 2638, 772, 850, 31, 1592, 2109, 663, 2022, 891, 491, 1387, 2422, 991, 907, 2112, 2228, 1976, 724, 77]
[157, 2247, 455, 2340, 1542, 1817, 231, 1355, 2296, 2032, 383, 729, 1590, 2494, 27, 2308, 182, 511, 2042, 938, 2335, 560, 583, 1307, 1422, 2250, 1265, 804, 368, 2683, 1102, 1385, 906, 1688, 2536, 2661, 2222, 1971, 203, 2265, 1669, 1058, 2070, 1583, 1713, 1628, 2099, 1139, 2089, 636, 2172, 1187, 2232, 1232, 94, 1838, 751, 777, 2199, 1922, 46, 1646, 2460, 1732, 1566, 1229, 704, 1612, 1731, 439, 2421, 758, 1625, 1557, 1895, 1596, 998, 2558, 2507, 53, 2487, 773, 2319, 1197, 1779, 1089, 563, 1784, 36, 2300, 2328, 1787, 2079, 2096, 137, 581, 1699, 2086, 2084, 85, 1998, 2516, 1414, 1974, 393, 130, 2275, 2062, 474, 2058, 1982, 1181, 1077, 1043, 807, 1227, 610, 516, 1959, 67, 1076, 2112, 2109, 1333, 31, 92, 1387, 847, 600, 1165, 1085, 2050, 1972, 2458, 2608, 1676, 1288, 1851, 213, 1359]
